NUMEST	MEDEST	MEANEST	STDEV	HIGHEST	LOWEST	ACTUAL	FE
1	40.1	40.1		40.1	40.1	20.65	.4850374
1	64.4	64.4		64.4	64.4	78.6533	.2213245
1	87.6	87.6		87.6	87.6	89.33	.0197489
1	100.1	100.1		100.1	100.1	92.3945	.076978
1	71.9	71.9		71.9	71.9	55.48	.2283727
1	138.8	138.8		138.8	138.8	150.57	.0847983
1	156.6	156.6		156.6	156.6	128.28	.1808429
1	145.9	145.9		145.9	145.9	118.23	.1896504
1	67.6	67.6		67.6	67.6	77.04	.139645
1	110.3	110.3		110.3	110.3	106.9948	.0299655
1	142.4	142.4		142.4	142.4	210.4	.4775281
3							.1012205
8							.1089784
3	142	142.4	.7	143.3	142	136.96	.035493
3	100	101.9	3.7	106.2	99.5	148.91	.4891
4	133.4	136.2	13.6	154.4	123.5	91.31	.3155172
2	105.3	105.3	8.2	111.1	99.5	67.38	.3601139
2	118.6	118.6	10.5	126	111.1	102.83	.132968
2	122.4	122.4	5.4	126.2	118.6	129.83	.0607026
2	147.8	147.8	3	149.9	145.7	163.75	.1079161
2	107.5	107.5	12.2	116.1	98.8	117.77	.0955349
2	87.7	87.7	22.7	103.7	71.6	27.59	.6854048
1	74.1	74.1		74.1	74.1	-46.5	1.62753
1	71.6	71.6		71.6	71.6	67.72	.0541899
1	61.7	61.7		61.7	61.7	48.89	.2076175
6	143.8	142.5	10.4	152.9	131.2	176.0586	.2243296
11	141.7	146	16.3	178.4	127.3	183.7753	.2969323
12	184.1	180.8	20	218.9	151.6	154.004	.1634764
12	98.9	92.5	13.5	109.2	69	113.8839	.1515056
17	74.4	78.3	11.3	109.2	58.9	102.081	.3720565
15	102.8	103.7	6.3	117.2	95.7	132.8448	.2922646
16	126.6	126.2	7.8	137.7	112	125.2855	.0103831
16	103	105.2	6.1	117.7	97.9	125.78	.221165
16	116.8	116.2	5.5	126	108	53.29	.54375
14	37.7	39	6.4	51.4	29.4	11.49	.6952255
13	18.3	20.1	9.6	43.3	9.1	31.61	.7273224
11	39.7	38	4.7	45	29.8	27.64	.3037784
10	39	39	6.1	47.9	27.6		
8	69.7	69.2	6.6	78.8	61.5	84.61	.2139168
10	15.9	-9.7	61.2	55.7	-101.7	-76.5	5.811321
10	108.6	108.4	15.6	136.8	80.1	153.87	.4168508
